metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
teleport.firestore.events.backend.write.requests.count,count,,,,Number of firestore backend write requests.,0,teleport,firestore backend write requests,
teleport.firestore.events.backend.write.seconds.bucket,count,,,,Bucket of firestore backend write seconds.,0,teleport,firestore backend write seconds,
teleport.firestore.events.backend.write.seconds.sum,count,,,,Sum of firestore backend write seconds.,0,teleport,firestore backend write seconds,
teleport.firestore.events.backend.write.seconds.count,count,,,,Count of firestore backend write seconds.,0,teleport,firestore backend write seconds,
teleport.gcs.event_storage.downloads.seconds.bucket,count,,,,Bucket of gcs event storage downloads seconds.,0,teleport,gcs event storage downloads seconds,
teleport.gcs.event_storage.downloads.seconds.sum,count,,,,Sum of gcs event storage downloads seconds.,0,teleport,gcs event storage downloads seconds,
teleport.gcs.event_storage.downloads.seconds.count,count,,,,Count of gcs event storage downloads seconds.,0,teleport,gcs event storage downloads seconds,
teleport.gcs.event_storage.downloads.count,count,,,,Number of gcs event storage downloads.,0,teleport,gcs event storage downloads,
teleport.gcs.event_storage.uploads.seconds.bucket,count,,,,Bucket of gcs event storage uploads seconds.,0,teleport,gcs event storage uploads seconds,
teleport.gcs.event_storage.uploads.seconds.sum,count,,,,Sum of gcs event storage uploads seconds.,0,teleport,gcs event storage uploads seconds,
teleport.gcs.event_storage.uploads.seconds.count,count,,,,Count of gcs event storage uploads seconds.,0,teleport,gcs event storage uploads seconds,
teleport.gcs.event_storage.uploads.count,count,,,,Number of gcs event storage uploads.,0,teleport,gcs event storage uploads,
teleport.grpc_server.started.total.count,count,,,,Number of grpc server connections started.,0,teleport,grpc server started,
teleport.grpc_server.started.handled.total.count,count,,,,Number of grpc server connections handled.,0,teleport,grpc server started handled,
teleport.grpc_server.msg.received.total.count,count,,,,Number of grpc server messages received.,0,teleport,grpc server messages received,
teleport.grpc_server.msg.sent.total.count,count,,,,Number of grpc server messages sent.,0,teleport,grpc server messages sent,
teleport.heartbeat.connections.received.total.count,count,,,,Number of heartbeat connections received.,0,teleport,heartbeat connections received,
teleport.s3.requests.total.count,count,,,,Number of s3 requests.,0,teleport,s3 requests,
teleport.s3.requests.count,count,,,,Number of s3 requests.,0,teleport,s3 requests,
teleport.s3.requests.seconds.bucket,count,,,,Bucket of s3 requests seconds.,0,teleport,s3 requests seconds,
teleport.s3.requests.seconds.sum,count,,,,Sum of s3 requests seconds.,0,teleport,s3 requests seconds,
teleport.s3.requests.seconds.count,count,,,,Count of s3 requests seconds.,0,teleport,s3 requests seconds,
teleport.audit.emit.events.count,count,,,,Number of events emitted.,0,teleport,emit events,
teleport.audit.parquetlog.batch.processing.seconds.bucket,count,,,,Bucket of parquet log batch processing seconds.,0,teleport,parquet log batch processing seconds,
teleport.audit.parquetlog.batch.processing.seconds.sum,count,,,,Sum of parquet log batch processing seconds.,0,teleport,parquet log batch processing seconds,
teleport.audit.parquetlog.batch.processing.seconds.count,count,,,,Count of parquet log batch processing seconds.,0,teleport,parquet log batch processing seconds,
